 Bachelors,13, Never-married, Not-in-family, White
 Bachelors,13, Married-civ-spouse, Husband, White
 HS-grad,9, Divorced, Not-in-family, White
 11th,7, Married-civ-spouse, Husband, Black
 Bachelors,13, Married-civ-spouse, Wife, Black
 Masters,14, Married-civ-spouse, Wife, White
 9th,5, Married-spouse-absent, Not-in-family, Black
 HS-grad,9, Married-civ-spouse, Husband, White
 Masters,14, Never-married, Not-in-family, White
 Bachelors,13, Married-civ-spouse, Husband, White
 Some-college,10, Married-civ-spouse, Husband, Black
 Bachelors,13, Married-civ-spouse, Husband, Asian-Pac-Islander
 Bachelors,13, Never-married, Own-child, White
 Assoc-acdm,12, Never-married, Not-in-family, Black
 Assoc-voc,11, Married-civ-spouse, Husband, Asian-Pac-Islander
 7th-8th,4, Married-civ-spouse, Husband, Amer-Indian-Eskimo
 HS-grad,9, Never-married, Own-child, White
 HS-grad,9, Never-married, Unmarried, White
 11th,7, Married-civ-spouse, Husband, White
 Masters,14, Divorced, Unmarried, White
 Doctorate,16, Married-civ-spouse, Husband, White
 HS-grad,9, Separated, Unmarried, Black
 9th,5, Married-civ-spouse, Husband, Black
 11th,7, Married-civ-spouse, Husband, White
 HS-grad,9, Divorced, Unmarried, White
 Bachelors,13, Married-civ-spouse, Husband, White
 HS-grad,9, Never-married, Own-child, White
 Some-college,10, Married-civ-spouse, Husband, Asian-Pac-Islander
 HS-grad,9, Divorced, Not-in-family, White
 HS-grad,9, Married-civ-spouse, Husband, White
 Assoc-acdm,12, Never-married, Not-in-family, White
 Some-college,10, Never-married, Own-child, Black
 Bachelors,13, Divorced, Own-child, White
 Some-college,10, Married-civ-spouse, Own-child, White
 Some-college,10, Married-civ-spouse, Husband, Black
 11th,7, Never-married, Unmarried, White
 Some-college,10, Never-married, Own-child, White
 HS-grad,9, Married-AF-spouse, Wife, White
 Some-college,10, Married-civ-spouse, Husband, White
 Assoc-acdm,12, Married-civ-spouse, Husband, White
 9th,5, Married-civ-spouse, Husband, White
 Bachelors,13, Married-civ-spouse, Husband, White
 Bachelors,13, Married-civ-spouse, Husband, White
 HS-grad,9, Separated, Unmarried, White
 HS-grad,9, Never-married, Not-in-family, White
 Bachelors,13, Married-civ-spouse, Husband, Black
 HS-grad,9, Married-civ-spouse, Husband, White
 Masters,14, Divorced, Unmarried, White
 Assoc-voc,11, Married-civ-spouse, Husband, White
 Assoc-voc,11, Never-married, Not-in-family, White
 Some-college,10, Married-civ-spouse, Wife, Other
 HS-grad,9, Never-married, Own-child, White
 Prof-school,15, Married-civ-spouse, Wife, White
 Bachelors,13, Divorced, Not-in-family, White
 HS-grad,9, Divorced, Not-in-family, White
 Some-college,10, Married-civ-spouse, Husband, White
 5th-6th,3, Married-civ-spouse, Husband, White
 Assoc-voc,11, Married-civ-spouse, Husband, White
 HS-grad,9, Married-civ-spouse, Husband, White
 HS-grad,9, Married-civ-spouse, Husband, White
 Bachelors,13, Married-civ-spouse, Husband, White
 7th-8th,4, Married-spouse-absent, Not-in-family, White
 HS-grad,9, Married-civ-spouse, Husband, White
 Doctorate,16, Married-civ-spouse, Husband, White
 Some-college,10, Divorced, Not-in-family, White
 HS-grad,9, Married-civ-spouse, Husband, White
 Some-college,10, Divorced, Not-in-family, White
 HS-grad,9, Married-civ-spouse, Wife, White
 Some-college,10, Married-civ-spouse, Husband, White
 Some-college,10, Never-married, Own-child, White
 Some-college,10, Never-married, Own-child, White
 Bachelors,13, Separated, Own-child, Black
 Bachelors,13, Married-civ-spouse, Husband, White
 Some-college,10, Never-married, Not-in-family, White
 Some-college,10, Married-civ-spouse, Other-relative, White
 HS-grad,9, Never-married, Own-child, White
 Assoc-acdm,12, Married-civ-spouse, Husband, White
 10th,6, Married-civ-spouse, Husband, White
 11th,7, Never-married, Own-child, White
 7th-8th,4, Married-civ-spouse, Husband, White
 HS-grad,9, Never-married, Not-in-family, White
 Bachelors,13, Married-civ-spouse, Husband, White
 HS-grad,9, Married-civ-spouse, Wife, White
 HS-grad,9, Married-civ-spouse, Husband, White
 HS-grad,9, Divorced, Not-in-family, White
 HS-grad,9, Divorced, Own-child, White
 HS-grad,9, Married-civ-spouse, Husband, White
 Masters,14, Married-civ-spouse, Husband, White
 9th,5, Never-married, Not-in-family, White
 Doctorate,16, Never-married, Not-in-family, White
 Assoc-voc,11, Married-civ-spouse, Husband, White
 Some-college,10, Divorced, Unmarried, White
 Some-college,10, Divorced, Unmarried, Black
 HS-grad,9, Married-civ-spouse, Wife, Asian-Pac-Islander
 Bachelors,13, Married-civ-spouse, Husband, White
 Some-college,10, Never-married, Not-in-family, White
 Doctorate,16, Married-civ-spouse, Husband, White
 Some-college,10, Married-civ-spouse, Husband, White
 Assoc-acdm,12, Divorced, Unmarried, White
 HS-grad,9, Never-married, Own-child, Black
 Masters,14, Married-civ-spouse, Husband, White
 Bachelors,13, Married-civ-spouse, Husband, White
 Masters,14, Never-married, Not-in-family, White
 Some-college,10, Never-married, Own-child, White
 HS-grad,9, Never-married, Not-in-family, White
 HS-grad,9, Married-civ-spouse, Husband, White
 10th,6, Never-married, Own-child, White
 11th,7, Never-married, Own-child, White
 HS-grad,9, Never-married, Not-in-family, White
 HS-grad,9, Married-civ-spouse, Husband, White
 Bachelors,13, Never-married, Other-relative, White
 Prof-school,15, Married-civ-spouse, Husband, White
 HS-grad,9, Married-civ-spouse, Husband, White
 Some-college,10, Married-civ-spouse, Wife, White
 HS-grad,9, Never-married, Own-child, White
 9th,5, Married-civ-spouse, Husband, White
 Some-college,10, Married-civ-spouse, Husband, White
